Date,Open,High,Low,Close,Adj Close,Volume
2009-09-09,146.479996,148.199997,145.559998,147.544998,116.12361899999999,13553000.0
2009-09-10,149.0,150.300003,148.0,148.554993,116.91851799999999,8887250.0
2009-09-11,149.0,149.610001,146.46000700000002,149.125,117.36713400000001,7215440.0
2009-09-14,149.125,150.399994,148.399994,149.380005,117.56784099999999,6227390.0
2009-09-15,149.5,151.824997,149.21499599999999,151.425003,119.177315,10878400.0
2009-09-16,153.0,153.505005,150.570007,151.679993,119.377998,11578720.0
2009-09-17,152.729996,153.899994,152.070007,153.490005,120.802551,12056100.0
2009-09-18,153.600006,153.770004,151.100006,152.445007,119.98011799999999,4114790.0
2009-09-22,152.0,155.0,151.600006,154.634995,121.70369699999999,6725810.0
2009-09-23,155.5,159.889999,153.149994,156.96000700000002,123.53358500000002,13065700.0
2009-09-24,154.595001,163.669998,154.595001,162.380005,127.799355,22225260.0
2009-09-25,160.279999,162.425003,159.199997,160.854996,126.599106,5618820.0
2009-09-29,162.399994,163.479996,160.110001,161.134995,126.819473,3887000.0
2009-09-30,161.600006,166.0,160.419998,165.050003,129.900711,11988620.0
2009-10-01,164.0,166.83999599999999,162.024994,164.429993,129.41275,8647990.0
2009-10-05,162.100006,164.5,161.699997,163.404999,128.606033,5484940.0
2009-10-06,165.899994,166.490005,160.490005,165.96499599999999,130.62086499999998,5753640.0
2009-10-07,167.399994,171.0,167.0,167.770004,132.041473,10843330.0
2009-10-08,166.0,169.490005,164.994995,168.735001,132.80098,8404940.0
2009-10-09,166.0,169.0,166.0,167.565002,131.88012700000002,4504800.0
2009-10-12,166.300003,171.0,164.5,170.225006,133.973663,7800690.0
2009-10-13,338.390015,338.390015,338.390015,338.390015,266.325989,0.0
2009-10-14,170.5,172.899994,168.615005,170.220001,133.96971100000002,7821210.0
2009-10-15,171.03500400000001,173.5,169.41000400000001,172.229996,135.55166599999998,9386160.0
2009-10-16,173.199997,173.880005,171.235001,171.96499599999999,135.343094,8259850.0
2009-10-20,168.264999,172.0,168.0,169.130005,133.11184699999998,4694190.0
2009-10-21,166.0,170.205002,165.08500700000002,166.110001,130.735001,6423760.0
2009-10-22,164.100006,167.699997,164.0,166.600006,131.12063600000002,3789870.0
2009-10-23,167.5,169.899994,166.119995,169.190002,133.159073,3788490.0
2009-10-26,167.100006,169.699997,166.5,169.28999299999998,133.237778,4082410.0
2009-10-27,166.0,170.0,166.0,167.009995,131.443314,9577570.0
2009-10-28,166.0,166.979996,160.514999,161.955002,127.464844,6660450.0
2009-10-29,160.5,163.940002,157.024994,161.320007,126.965073,10245440.0
2009-10-30,162.199997,168.800003,160.550003,162.070007,127.55535900000001,7646190.0
2009-11-03,161.679993,163.949997,158.399994,160.050003,125.965546,4751260.0
2009-11-04,160.5,164.699997,158.134995,162.395004,127.81115,6275230.0
2009-11-05,161.979996,163.779999,158.699997,162.33500700000002,127.763916,9871450.0
2009-11-06,163.5,165.350006,162.199997,164.0,129.074356,5739060.0
2009-11-09,164.100006,171.0,164.0,170.744995,134.382919,8736220.0
2009-11-10,170.03500400000001,174.190002,169.169998,170.345001,134.0681,9364350.0
2009-11-11,167.53999299999998,174.0,167.53999299999998,173.58500700000002,136.618103,7595900.0
2009-11-12,172.865005,174.199997,170.759995,171.654999,135.099106,7844950.0
2009-11-13,170.554993,174.100006,170.554993,172.225006,135.547745,8622910.0
2009-11-16,172.294998,174.979996,171.899994,172.360001,135.653976,6065560.0
2009-11-17,174.485001,175.695007,170.130005,174.96499599999999,137.704224,7006900.0
2009-11-18,171.175003,175.5,171.175003,174.96000700000002,137.700302,9465300.0
2009-11-19,174.800003,174.800003,170.399994,171.955002,135.33522,5941120.0
2009-11-20,170.899994,176.149994,170.899994,175.399994,138.04658500000002,7653960.0
2009-11-23,173.529999,178.0,173.529999,176.544998,138.947708,5873220.0
2009-11-24,175.0,178.0,174.009995,177.690002,139.848892,4401650.0
2009-11-25,175.134995,180.899994,175.134995,180.270004,141.879456,7874790.0
2009-11-26,175.0,181.0,175.0,176.119995,138.613235,8028820.0
2009-11-27,174.199997,176.369995,168.235001,175.03500400000001,137.759308,7487760.0
2009-11-30,176.5,178.699997,174.225006,176.625,139.010712,8755640.0
2009-12-01,177.970001,179.899994,175.0,178.970001,140.856308,5487530.0
2009-12-02,178.009995,181.350006,177.625,180.71000700000002,142.225754,11851660.0
2009-12-03,178.854996,182.399994,178.854996,180.695007,142.213943,4876470.0
2009-12-04,178.615005,180.100006,177.509995,178.955002,140.844498,3389280.0
2009-12-07,179.0,180.770004,178.494995,179.735001,141.458405,4551060.0
2009-12-08,178.699997,183.899994,177.240005,183.324997,144.28388999999999,6830640.0
2009-12-09,180.565002,183.479996,179.149994,180.434998,142.009323,8034370.0
2009-12-10,179.134995,180.5,177.235001,178.509995,140.494278,6116960.0
2009-12-11,178.884995,179.899994,176.309998,178.514999,140.498215,5976600.0
2009-12-14,178.470001,180.0,174.899994,175.729996,138.30629,8071120.0
2009-12-15,173.654999,176.699997,169.0,170.080002,133.859528,8543180.0
2009-12-16,167.66000400000001,170.884995,167.5,169.33500700000002,133.273178,8580920.0
2009-12-17,168.0,169.699997,166.699997,167.149994,131.55351299999998,6597670.0
2009-12-18,165.139999,167.320007,164.684998,166.41000400000001,130.97108500000002,6281780.0
2009-12-21,166.41000400000001,167.119995,164.705002,165.274994,130.07783500000002,8594430.0
2009-12-22,166.0,166.720001,164.21000700000002,164.654999,129.589844,6274310.0
2010-01-04,170.0,172.850006,169.255005,170.570007,134.24520900000002,3050490.0
2010-01-05,171.0,172.5,170.5,170.720001,134.363205,8386600.0
2010-01-06,171.399994,172.0,168.809998,170.83500700000002,134.453751,6639840.0
2010-01-07,176.83999599999999,176.83999599999999,170.16000400000001,171.279999,134.80397,6123980.0
2010-01-08,171.199997,172.33999599999999,170.100006,171.505005,134.981079,7085900.0
2010-01-11,174.865005,174.865005,170.25,170.815002,134.438019,13766610.0
2010-01-12,170.800003,171.179993,167.860001,169.520004,133.418777,4907050.0
2010-01-13,168.494995,169.479996,166.554993,168.929993,132.954422,10346750.0
2010-01-14,171.0,171.380005,167.0,168.380005,132.521545,10172640.0
2010-01-15,169.83999599999999,169.899994,167.100006,169.41499299999998,133.336151,11581730.0
2010-01-18,169.0,177.800003,168.21000700000002,176.66499299999998,139.042145,23501460.0
2010-01-19,176.5,178.880005,175.28999299999998,177.919998,140.029907,16664220.0
2010-01-20,178.5,179.0,174.300003,175.610001,138.211838,13652110.0
2010-01-21,176.08999599999999,176.08999599999999,170.509995,171.16499299999998,134.71347,12523470.0
2010-01-22,169.600006,170.0,165.399994,167.71000700000002,131.994247,9473700.0
2010-01-25,166.0,167.78999299999998,163.130005,165.669998,130.388687,6028790.0
2010-01-27,166.110001,166.110001,158.690002,159.720001,125.705803,12107790.0
2010-01-28,161.0,161.899994,157.679993,159.324997,125.394897,17432230.0
2010-01-29,158.0,163.699997,155.25,163.104996,128.369949,16435170.0
2010-02-01,162.800003,162.800003,158.5,159.975006,125.90650900000001,7517330.0
2010-02-02,160.699997,161.490005,157.199997,157.91000400000001,124.28128799999999,10334700.0
2010-02-03,160.0,163.240005,157.800003,162.274994,127.716698,7727670.0
2010-02-04,161.800003,162.490005,158.550003,161.675003,127.244476,8605240.0
2010-02-05,159.800003,159.800003,156.5,157.33500700000002,123.82874299999999,9346940.0
2010-02-08,158.5,158.884995,154.899994,156.740005,123.360428,7590600.0
2010-02-09,156.679993,157.78999299999998,155.149994,157.16499299999998,123.69490800000001,11973750.0
2010-02-10,157.5,161.744995,156.399994,159.354996,125.41854099999999,13866680.0
2010-02-11,160.399994,163.300003,159.0,159.800003,125.768776,7269690.0
2010-02-15,159.699997,161.970001,158.25,161.380005,127.012276,4802490.0
2010-02-16,160.5,162.270004,159.0,160.639999,126.429878,7174850.0
2010-02-17,161.800003,166.095001,161.490005,165.595001,130.329666,12398340.0
2010-02-18,166.490005,169.0,165.074997,168.375,132.517624,10004420.0
2010-02-19,167.0,170.0,165.610001,169.389999,133.316467,7345990.0
2010-02-22,170.100006,171.970001,169.0,169.66000400000001,133.528961,6640170.0
2010-02-23,168.505005,170.884995,168.235001,170.100006,133.875275,6472890.0
2010-02-24,169.0,171.0,168.75,170.050003,133.835922,5605690.0
2010-02-25,170.100006,170.399994,168.199997,169.104996,133.092194,5836970.0
2010-02-26,169.0,173.475006,168.0,170.479996,134.17434699999998,9351030.0
2010-03-02,172.399994,175.600006,170.600006,174.494995,137.334305,7714650.0
2010-03-03,174.255005,178.100006,174.255005,177.66499299999998,139.829193,11147960.0
2010-03-04,177.5,178.699997,175.309998,178.115005,140.18336499999998,13514420.0
2010-03-05,178.554993,179.5,177.100006,178.399994,140.407669,10449650.0
2010-03-08,181.0,181.0,177.28999299999998,178.419998,140.423447,7372960.0
2010-03-09,177.5,181.5,177.5,181.119995,142.548431,12397690.0
2010-03-10,181.199997,181.990005,172.990005,181.445007,142.80423000000002,14960560.0
2010-03-11,181.600006,183.5,180.309998,182.695007,143.78801,7745230.0
2010-03-12,182.699997,183.03999299999998,178.634995,180.125,141.76532,7472440.0
2010-03-15,178.0,182.0,178.0,181.255005,142.654694,7512960.0
2010-03-16,180.5,180.990005,176.399994,180.46000700000002,142.028992,10436250.0
2010-03-17,180.46000700000002,182.479996,179.809998,180.770004,142.27298000000002,4794840.0
2010-03-18,181.240005,181.240005,179.050003,180.08999599999999,141.73779299999998,3501970.0
2010-03-19,181.479996,182.479996,179.764999,181.985001,143.22924799999998,6339840.0
2010-03-22,180.199997,185.5,179.800003,183.71000700000002,144.58686799999998,15305610.0
2010-03-23,183.5,189.0,183.5,188.399994,148.278091,10154380.0
2010-03-25,188.0,193.0,187.020004,192.615005,151.595444,23296400.0
2010-03-26,193.100006,196.559998,191.309998,195.145004,153.586639,11552860.0
2010-03-29,162.884995,199.0,162.884995,196.505005,154.657028,13226710.0
2010-03-30,196.5,196.990005,190.139999,190.684998,150.076447,9369980.0
2010-03-31,190.0,194.28999299999998,189.725006,193.350006,152.173935,6826080.0
2010-04-01,195.0,195.0,192.610001,193.925003,152.62648000000002,7409220.0
